    -0.348 -      0.422*1j,      0.282 -      0.616*1j,      0.601 +      0.778*1j,     -0.808 +      0.899*1j,      0.037 +      0.293*1j,     -0.578 -      0.684*1j,      0.828 -      0.373*1j,     -0.706 +      0.435*1j,     -0.515 -      0.588*1j,      0.458 -      0.734*1j,      0.412 +      0.827*1j,     -0.807 +      0.100*1j,     -0.740 +      0.170*1j,     -0.035 -      1.063*1j,      1.157 +      0.064*1j,     -0.143 +      0.927*1j,      0.108 -      0.199*1j,      0.200 +      0.728*1j,      0.258 -      1.031*1j,     -0.621 +      0.545*1j,     -0.116 -      1.289*1j,      1.032 -      0.029*1j,     -0.003 +      0.893*1j,     -0.895 +      0.352*1j,     -0.111 +      0.488*1j,      0.332 -      0.120*1j,      0.468 -      0.585*1j,     -0.506 +      0.064*1j,     -1.080 -      0.392*1j,      0.103 -      0.931*1j,      0.819 +      0.152*1j,      0.024 +      0.862*1j,     -0.568 -      0.213*1j,      0.210 -      0.790*1j,      0.448 +      0.299*1j,     -0.413 +      0.885*1j,     -0.235 +      0.676*1j,     -0.226 -      0.799*1j,      1.028 -      0.325*1j,     -0.497 +      0.331*1j,      0.291 +      0.418*1j,      0.744 -      0.452*1j,     -0.350 -      0.570*1j,     -0.976 +      0.591*1j,     -0.578 -      0.605*1j,      0.437 -      0.306*1j,      0.305 +      0.235*1j,     -0.588 +      0.735*1j,     -0.142 +      0.074*1j,      0.470 +      0.264*1j,      0.130 -      1.077*1j,     -0.503 +      1.147*1j,     -0.630 -      0.125*1j,      0.154 -      1.042*1j,      0.878 +      0.018*1j,      0.017 +      1.012*1j,     -0.879 +      0.135*1j,      0.572 -      0.922*1j,      0.553 +      0.160*1j,     -0.136 +      0.400*1j,     -0.425 +      0.064*1j,      0.223 +      0.322*1j,     -0.071 -      1.213*1j,      0.281 +      0.866*1j,     -0.302 -      0.768*1j,      0.588 -      0.614*1j,      0.276 +      0.596*1j,     -0.812 +      0.349*1j,     -0.633 +      0.035*1j,      0.183 -      1.049*1j,      1.057 +      0.251*1j,     -0.173 +      0.664*1j,     -0.418 +      0.105*1j,      0.148 -      1.040*1j,      0.573 -      0.032*1j,     -0.159 +      0.280*1j,     -0.825 -      0.356*1j,      0.527 -      0.724*1j,      0.740 +      0.325*1j,     -0.263 +      0.902*1j,     -0.891 +      0.015*1j,     -0.098 -      0.804*1j,      0.756 +      0.055*1j,     -0.017 +      0.652*1j,      0.334 -      0.121*1j,     -0.453 -      1.074*1j,      0.828 +      0.487*1j,     -0.586 +      0.499*1j,     -0.349 -      0.601*1j,      0.954 -      0.160*1j,      0.014 +      0.697*1j,     -0.854 +      0.230*1j,     -0.769 -      0.428*1j,      0.062 -      0.515*1j,      0.723 -      0.163*1j,     -0.010 +      0.807*1j,     -0.500 -      0.326*1j,      0.212 -      0.732*1j,      0.723 +      0.275*1j,     -0.285 +      0.935*1j,      0.497 +      0.624*1j,      0.058 -      1.100*1j,      0.426 -      0.010*1j,     -0.677 +      0.157*1j,     -0.487 +      0.582*1j,      0.733 -      0.278*1j,      0.018 -      0.828*1j,     -0.059 +      1.280*1j,     -0.671 -      0.261*1j,      0.058 -      0.851*1j,      0.935 +      0.222*1j,     -0.321 +      1.061*1j,     -0.011 +      0.705*1j,      0.205 -      0.468*1j,      1.024 -      0.587*1j,     -0.668 +      0.038*1j,     -0.370 -      0.329*1j,     -0.111 -      0.658*1j,      0.446 +      0.012*1j,     -0.142 +      0.853*1j,     -0.033 +      0.148*1j,     -0.008 -      0.818*1j,      0.418 +      0.459*1j,     -0.439 +      0.241*1j,      0.232 -      0.024*1j,      0.045 -      0.811*1j,      0.796 +      0.331*1j,     -0.947 +      0.542*1j,     -0.882 -      0.491*1j,      0.373 -      0.898*1j,      0.620 +      0.617*1j,     -0.227 +      1.187*1j,     -0.512 +      0.226*1j,      0.741 -      0.297*1j,      0.209 -      1.235*1j,     -0.281 +      1.258*1j,     -0.306 +      0.204*1j,      0.063 -      1.025*1j,      1.140 -      0.002*1j,     -0.710 +      0.606*1j,     -0.807 +      0.030*1j,      0.188 -      1.282*1j,      0.710 +      0.098*1j,      0.263 +      1.011*1j,     -0.432 -      0.129*1j,      0.187 -      1.051*1j,      0.903 +      0.582*1j,     -0.201 +      0.817*1j,      0.115 +      0.226*1j,     -0.312 -      0.822*1j,      0.549 -      0.293*1j,     -0.643 +      0.802*1j,     -0.496 -      0.563*1j,      0.446 -      0.432*1j,      0.600 +      0.479*1j,     -0.620 +      0.996*1j,     -0.724 -      0.130*1j,      0.146 -      0.765*1j,      0.575 +      0.840*1j,     -0.353 +      0.377*1j,     -0.705 -      0.128*1j,      0.236 -      1.181*1j,      1.001 +      0.253*1j,     -0.278 +      1.038*1j,     -0.453 -      0.613*1j,      0.695 +      0.269*1j,      0.653 -      0.786*1j,     -0.553 +      1.284*1j,     -0.825 -      0.512*1j,      0.608 -      0.630*1j,      0.797 +      0.480*1j,     -0.581 +      0.486*1j,     -0.532 +      0.680*1j,     -0.236 -      0.418*1j,      0.557 -      0.425*1j,      0.411 +      1.382*1j,     -0.254 -      0.839*1j,      0.540 -      0.301*1j,      0.350 +      0.398*1j,     -0.585 +      0.452*1j,     -0.854 +      0.119*1j,     -0.119 -      0.987*1j,      0.625 +      0.133*1j,      0.060 +      0.898*1j,     -0.652 -      0.148*1j,      0.309 -      1.036*1j,      0.754 +      0.203*1j,     -0.295 +      0.970*1j,     -0.238 +      0.426*1j,      0.043 -      0.836*1j,      0.928 +      0.112*1j,     -0.850 +      0.702*1j,      0.025 +      0.626*1j,     -0.112 -      1.185*1j,      0.881 +      0.297*1j,     -0.824 +      0.643*1j,     -0.119 -      0.803*1j,      0.953 -      0.405*1j,      0.371 +      0.879*1j,     -0.885 +      0.236*1j,     -0.219 +      0.866*1j,     -0.247 -      0.301*1j,      0.555 -      1.205*1j,      0.498 +      0.587*1j,     -0.562 -      0.262*1j,      0.457 -      0.881*1j,      0.927 +      0.198*1j,     -0.374 +      0.827*1j,     -0.901 -      0.047*1j,      0.065 -      0.945*1j,      0.677 +      0.143*1j,     -0.020 +      1.090*1j,     -0.429 -      0.347*1j,      0.391 -      0.828*1j,      0.764 +      0.731*1j,     -0.727 +      0.539*1j,     -0.861 -      0.396*1j,      0.020 -      0.763*1j,      0.727 +      0.190*1j,     -0.271 +      0.968*1j,     -0.771 -      0.228*1j,      1.024 +      0.321*1j,     -0.580 -      1.133*1j,      0.131 +      0.336*1j,      0.282 +      0.017*1j,      0.005 -      0.412*1j,      0.711 +      0.036*1j,     -0.680 +      0.960*1j,     -0.718 -      0.016*1j,     -0.000 -      0.747*1j,      0.723 -      0.185*1j,      0.099 +      0.888*1j,     -0.786 +      0.150*1j,      0.230 -      0.954*1j,      0.476 -      0.118*1j,     -0.061 +      1.145*1j,     -0.654 -      0.260*1j,      0.065 -      0.454*1j,      0.782 -      0.097*1j,     -0.218 +      0.750*1j,     -0.559 +      0.181*1j,      0.542 -      0.037*1j,      0.018 -      1.121*1j,     -0.001 +      0.749*1j,     -0.531 -      0.195*1j,     -0.236 -      0.948*1j,      0.825 -      0.012*1j,     -0.009 +      0.846*1j,     -0.530 +      0.079*1j,      0.136 -      0.764*1j,      0.828 +      0.168*1j,     -0.223 +      0.654*1j,     -0.670 -      0.251*1j,      0.462 -      0.577*1j,      0.427 +      0.482*1j,     -1.159 +      0.627*1j,     -0.973 -      0.134*1j,      0.280 -      0.996*1j,      0.535 +      0.668*1j,     -0.042 +      0.522*1j,      0.267 +      0.515*1j,      0.166 -      0.477*1j,     -0.029 -      0.989*1j,     -0.454 +      0.706*1j,     -0.561 +      0.165*1j,      0.833 +      0.088*1j,      0.373 -      0.981*1j,     -0.350 +      1.009*1j,     -0.290 +      0.100*1j,      0.401 -      0.919*1j,      0.593 +      0.538*1j,     -0.666 +      0.899*1j,     -0.075 -      0.827*1j,      0.662 -      0.392*1j,      0.024 +      0.619*1j,     -1.010 +      0.160*1j,     -0.191 -      0.900*1j,      0.708 -      0.404*1j,      0.083 +      0.595*1j,     -1.008 +      0.552*1j,     -0.600 +      0.189*1j,     -0.111 -      1.308*1j,      0.930 -      0.196*1j,     -0.050 +      0.606*1j,     -0.118 +      1.015*1j,      0.503 +      0.327*1j,      0.606 -      0.874*1j,     -0.559 -      0.257*1j,      0.081 +      0.449*1j,     -0.007 -      0.868*1j,      0.663 -      0.543*1j,     -0.741 +      0.662*1j,     -0.662 -      0.075*1j,     -0.053 -      0.666*1j,      0.797 +      0.049*1j,     -0.701 +      0.886*1j,      0.140 -      0.963*1j,      0.589 -      0.167*1j,      0.502 +      1.023*1j,     -0.710 +      0.422*1j,      0.346 -      0.182*1j,      0.063 -      1.177*1j,      0.171 +      0.953*1j,     -1.060 +      0.346*1j,     -0.722 -      0.247*1j,      0.073 -      0.887*1j,      1.024 +      0.406*1j,     -0.118 +      0.475*1j,     -0.417 -      0.087*1j,      0.054 -      0.841*1j,      0.733 +      0.422*1j,     -0.360 +      0.941*1j,     -0.614 +      0.030*1j,     -0.203 -      0.540*1j,      0.658 +      0.313*1j,     -0.042 +      0.391*1j,      0.417 +      0.570*1j,     -0.305 -      0.223*1j,      0.518 -      0.635*1j,     -0.548 +      0.681*1j
    -0.394 -      0.446*1j,      0.343 -      0.655*1j,      0.671 +      0.786*1j,     -0.846 +      0.970*1j,      0.024 +      0.213*1j,     -0.640 -      0.803*1j,      0.819 -      0.435*1j,     -0.720 +      0.438*1j,     -0.534 -      0.567*1j,      0.483 -      0.742*1j,      0.415 +      0.810*1j,     -0.845 +      0.085*1j,     -0.761 +      0.126*1j,     -0.124 -      1.018*1j,      1.213 +      0.008*1j,     -0.076 +      0.956*1j,      0.196 -      0.307*1j,      0.238 +      0.751*1j,      0.271 -      1.057*1j,     -0.664 +      0.541*1j,     -0.134 -      1.292*1j,      1.011 -      0.074*1j,      0.028 +      0.906*1j,     -0.942 +      0.297*1j,     -0.124 +      0.495*1j,      0.331 -      0.121*1j,      0.484 -      0.590*1j,     -0.518 +      0.038*1j,     -1.168 -      0.322*1j,      0.120 -      0.912*1j,      0.836 +      0.140*1j,      0.046 +      0.845*1j,     -0.548 -      0.260*1j,      0.249 -      0.794*1j,      0.491 +      0.334*1j,     -0.405 +      0.888*1j,     -0.257 +      0.666*1j,     -0.295 -      0.785*1j,      1.043 -      0.293*1j,     -0.506 +      0.367*1j,      0.312 +      0.465*1j,      0.757 -      0.464*1j,     -0.373 -      0.563*1j,     -1.028 +      0.623*1j,     -0.570 -      0.663*1j,      0.539 -      0.279*1j,      0.337 +      0.356*1j,     -0.623 +      0.709*1j,     -0.135 -      0.024*1j,      0.488 +      0.274*1j,      0.150 -      1.095*1j,     -0.567 +      1.126*1j,     -0.597 -      0.145*1j,      0.153 -      1.048*1j,      0.875 -      0.043*1j,      0.026 +      1.021*1j,     -0.900 +      0.117*1j,      0.664 -      0.886*1j,      0.563 +      0.197*1j,     -0.202 +      0.412*1j,     -0.473 +      0.060*1j,      0.230 +      0.334*1j,     -0.027 -      1.240*1j,      0.300 +      0.834*1j,     -0.321 -      0.776*1j,      0.599 -      0.594*1j,      0.218 +      0.628*1j,     -0.821 +      0.438*1j,     -0.630 +      0.053*1j,      0.186 -      1.045*1j,      1.063 +      0.255*1j,     -0.170 +      0.663*1j,     -0.386 +      0.076*1j,      0.141 -      1.045*1j,      0.583 -      0.060*1j,     -0.099 +      0.229*1j,     -0.873 -      0.355*1j,      0.537 -      0.714*1j,      0.772 +      0.303*1j,     -0.234 +      0.918*1j,     -0.938 +      0.041*1j,     -0.097 -      0.802*1j,      0.749 +      0.026*1j,     -0.011 +      0.675*1j,      0.334 -      0.124*1j,     -0.506 -      1.033*1j,      0.818 +      0.516*1j,     -0.599 +      0.494*1j,     -0.382 -      0.634*1j,      0.977 -      0.175*1j,      0.033 +      0.722*1j,     -0.865 +      0.199*1j,     -0.814 -      0.399*1j,      0.082 -      0.548*1j,      0.745 -      0.166*1j,      0.019 +      0.807*1j,     -0.504 -      0.350*1j,      0.243 -      0.759*1j,      0.727 +      0.258*1j,     -0.305 +      0.943*1j,      0.528 +      0.621*1j,      0.085 -      1.129*1j,      0.407 +      0.013*1j,     -0.705 +      0.166*1j,     -0.553 +      0.622*1j,      0.752 -      0.271*1j,      0.022 -      0.811*1j,     -0.045 +      1.312*1j,     -0.683 -      0.259*1j,      0.067 -      0.848*1j,      0.959 +      0.211*1j,     -0.358 +      1.069*1j,     -0.044 +      0.709*1j,      0.213 -      0.502*1j,      0.997 -      0.627*1j,     -0.679 +      0.063*1j,     -0.355 -      0.352*1j,     -0.125 -      0.671*1j,      0.444 +      0.041*1j,     -0.142 +      0.919*1j,      0.053 +      0.112*1j,     -0.010 -      0.791*1j,      0.441 +      0.473*1j,     -0.437 +      0.273*1j,      0.246 -      0.111*1j,      0.072 -      0.797*1j,      0.816 +      0.321*1j,     -0.939 +      0.506*1j,     -0.900 -      0.580*1j,      0.396 -      0.872*1j,      0.585 +      0.637*1j,     -0.291 +      1.190*1j,     -0.564 +      0.263*1j,      0.768 -      0.304*1j,      0.246 -      1.243*1j,     -0.303 +      1.260*1j,     -0.383 +      0.241*1j,      0.014 -      1.055*1j,      1.156 -      0.035*1j,     -0.757 +      0.591*1j,     -0.823 +      0.010*1j,      0.259 -      1.296*1j,      0.748 +      0.114*1j,      0.246 +      1.031*1j,     -0.469 -      0.110*1j,      0.194 -      1.049*1j,      0.945 +      0.545*1j,     -0.223 +      0.795*1j,      0.161 +      0.233*1j,     -0.321 -      0.861*1j,      0.560 -      0.303*1j,     -0.711 +      0.796*1j,     -0.516 -      0.535*1j,      0.502 -      0.424*1j,      0.663 +      0.495*1j,     -0.661 +      1.051*1j,     -0.724 -      0.115*1j,      0.146 -      0.755*1j,      0.535 +      0.847*1j,     -0.422 +      0.418*1j,     -0.710 -      0.157*1j,      0.276 -      1.168*1j,      1.028 +      0.232*1j,     -0.301 +      1.049*1j,     -0.455 -      0.593*1j,      0.733 +      0.303*1j,      0.715 -      0.796*1j,     -0.491 +      1.312*1j,     -0.877 -      0.487*1j,      0.668 -      0.610*1j,      0.828 +      0.458*1j,     -0.566 +      0.506*1j,     -0.532 +      0.696*1j,     -0.269 -      0.430*1j,      0.575 -      0.503*1j,      0.364 +      1.444*1j,     -0.289 -      0.884*1j,      0.534 -      0.344*1j,      0.395 +      0.395*1j,     -0.620 +      0.453*1j,     -0.891 +      0.116*1j,     -0.148 -      0.992*1j,      0.618 +      0.182*1j,      0.073 +      0.911*1j,     -0.638 -      0.223*1j,      0.318 -      1.019*1j,      0.772 +      0.174*1j,     -0.290 +      0.990*1j,     -0.250 +      0.386*1j,      0.038 -      0.847*1j,      0.944 +      0.036*1j,     -0.858 +      0.701*1j,      0.032 +      0.625*1j,     -0.161 -      1.157*1j,      0.915 +      0.297*1j,     -0.853 +      0.642*1j,     -0.105 -      0.764*1j,      0.935 -      0.498*1j,      0.393 +      0.919*1j,     -0.914 +      0.220*1j,     -0.207 +      0.879*1j,     -0.283 -      0.343*1j,      0.541 -      1.232*1j,      0.529 +      0.572*1j,     -0.569 -      0.266*1j,      0.486 -      0.925*1j,      0.939 +      0.171*1j,     -0.422 +      0.872*1j,     -0.939 -      0.031*1j,      0.029 -      0.955*1j,      0.690 +      0.205*1j,      0.037 +      1.096*1j,     -0.456 -      0.347*1j,      0.427 -      0.860*1j,      0.863 +      0.826*1j,     -0.782 +      0.536*1j,     -0.849 -      0.411*1j,      0.025 -      0.756*1j,      0.741 +      0.217*1j,     -0.254 +      0.986*1j,     -0.770 -      0.267*1j,      1.063 +      0.301*1j,     -0.540 -      1.209*1j,      0.206 +      0.381*1j,      0.344 +      0.084*1j,     -0.040 -      0.456*1j,      0.704 +      0.001*1j,     -0.737 +      0.959*1j,     -0.727 -      0.097*1j,     -0.029 -      0.750*1j,      0.736 -      0.201*1j,      0.088 +      0.915*1j,     -0.779 +      0.117*1j,      0.261 -      0.937*1j,      0.502 -      0.185*1j,      0.001 +      1.160*1j,     -0.660 -      0.276*1j,      0.023 -      0.543*1j,      0.806 -      0.093*1j,     -0.259 +      0.744*1j,     -0.576 +      0.182*1j,      0.562 +      0.014*1j,     -0.069 -      1.158*1j,      0.041 +      0.752*1j,     -0.498 -      0.247*1j,     -0.425 -      0.932*1j,      0.794 -      0.046*1j,      0.029 +      0.873*1j,     -0.573 +      0.058*1j,      0.129 -      0.755*1j,      0.851 +      0.194*1j,     -0.206 +      0.688*1j,     -0.661 -      0.265*1j,      0.473 -      0.600*1j,      0.425 +      0.492*1j,     -1.219 +      0.596*1j,     -1.011 -      0.087*1j,      0.317 -      1.036*1j,      0.562 +      0.658*1j,     -0.025 +      0.491*1j,      0.303 +      0.549*1j,      0.146 -      0.535*1j,     -0.063 -      0.975*1j,     -0.478 +      0.756*1j,     -0.576 +      0.153*1j,      0.863 +      0.079*1j,      0.397 -      1.012*1j,     -0.382 +      1.061*1j,     -0.427 +      0.272*1j,      0.447 -      0.938*1j,      0.638 +      0.604*1j,     -0.666 +      0.881*1j,     -0.077 -      0.863*1j,      0.661 -      0.419*1j,      0.030 +      0.610*1j,     -1.061 +      0.100*1j,     -0.212 -      0.964*1j,      0.728 -      0.466*1j,      0.098 +      0.622*1j,     -1.102 +      0.522*1j,     -0.611 +      0.169*1j,     -0.128 -      1.334*1j,      0.944 -      0.232*1j,     -0.084 +      0.597*1j,     -0.033 +      1.057*1j,      0.512 +      0.338*1j,      0.614 -      0.879*1j,     -0.558 -      0.258*1j,      0.060 +      0.458*1j,     -0.030 -      0.834*1j,      0.693 -      0.565*1j,     -0.796 +      0.609*1j,     -0.712 -      0.058*1j,     -0.075 -      0.711*1j,      0.807 +      0.014*1j,     -0.704 +      0.943*1j,      0.161 -      0.950*1j,      0.745 -      0.175*1j,      0.505 +      1.126*1j,     -0.724 +      0.412*1j,      0.388 -      0.171*1j,      0.102 -      1.197*1j,      0.159 +      0.989*1j,     -1.077 +      0.280*1j,     -0.724 -      0.275*1j,      0.091 -      0.871*1j,      1.092 +      0.374*1j,     -0.098 +      0.480*1j,     -0.387 -      0.128*1j,      0.057 -      0.827*1j,      0.784 +      0.441*1j,     -0.390 +      0.995*1j,     -0.649 +      0.006*1j,     -0.257 -      0.566*1j,      0.681 +      0.357*1j,      0.022 +      0.438*1j,      0.416 +      0.590*1j,     -0.370 -      0.288*1j,      0.554 -      0.590*1j,     -0.564 +      0.696*1j
    -0.429 -      0.463*1j,      0.384 -      0.701*1j,      0.762 +      0.763*1j,     -0.893 +      0.969*1j,      0.067 +      0.219*1j,     -0.672 -      0.894*1j,      0.838 -      0.531*1j,     -0.743 +      0.437*1j,     -0.542 -      0.544*1j,      0.489 -      0.740*1j,      0.416 +      0.811*1j,     -0.891 +      0.050*1j,     -0.773 +      0.125*1j,     -0.143 -      1.032*1j,      1.205 -      0.056*1j,     -0.086 +      1.066*1j,      0.208 -      0.383*1j,      0.253 +      0.740*1j,      0.275 -      1.073*1j,     -0.661 +      0.563*1j,     -0.174 -      1.291*1j,      0.992 -      0.108*1j,      0.058 +      0.906*1j,     -0.981 +      0.261*1j,     -0.108 +      0.523*1j,      0.328 -      0.124*1j,      0.474 -      0.590*1j,     -0.511 -      0.002*1j,     -1.142 -      0.391*1j,      0.120 -      0.903*1j,      0.869 +      0.184*1j,      0.073 +      0.846*1j,     -0.544 -      0.279*1j,      0.253 -      0.786*1j,      0.485 +      0.356*1j,     -0.405 +      0.888*1j,     -0.342 +      0.709*1j,     -0.313 -      0.791*1j,      1.045 -      0.292*1j,     -0.501 +      0.367*1j,      0.375 +      0.503*1j,      0.757 -      0.464*1j,     -0.370 -      0.550*1j,     -1.102 +      0.669*1j,     -0.616 -      0.748*1j,      0.573 -      0.295*1j,      0.289 +      0.420*1j,     -0.648 +      0.654*1j,     -0.119 -      0.172*1j,      0.492 +      0.275*1j,      0.182 -      1.103*1j,     -0.634 +      1.127*1j,     -0.654 -      0.166*1j,      0.150 -      1.059*1j,      0.880 -      0.140*1j,      0.043 +      1.035*1j,     -0.899 +      0.126*1j,      0.724 -      0.891*1j,      0.575 +      0.227*1j,     -0.229 +      0.449*1j,     -0.452 -      0.004*1j,      0.230 +      0.335*1j,     -0.021 -      1.237*1j,      0.335 +      0.818*1j,     -0.324 -      0.751*1j,      0.603 -      0.577*1j,      0.234 +      0.633*1j,     -0.832 +      0.477*1j,     -0.656 +      0.088*1j,      0.190 -      1.036*1j,      1.063 +      0.255*1j,     -0.170 +      0.663*1j,     -0.373 +      0.090*1j,      0.127 -      1.056*1j,      0.645 -      0.083*1j,     -0.116 +      0.211*1j,     -0.882 -      0.368*1j,      0.536 -      0.713*1j,      0.758 +      0.348*1j,     -0.195 +      0.969*1j,     -0.952 +      0.080*1j,     -0.097 -      0.802*1j,      0.746 -      0.033*1j,     -0.014 +      0.673*1j,      0.335 -      0.130*1j,     -0.558 -      0.970*1j,      0.868 +      0.502*1j,     -0.620 +      0.518*1j,     -0.449 -      0.681*1j,      1.014 -      0.199*1j,      0.059 +      0.716*1j,     -0.914 +      0.167*1j,     -0.874 -      0.351*1j,      0.072 -      0.547*1j,      0.753 -      0.167*1j,      0.057 +      0.805*1j,     -0.501 -      0.349*1j,      0.272 -      0.801*1j,      0.728 +      0.253*1j,     -0.304 +      0.947*1j,      0.604 +      0.607*1j,      0.145 -      1.152*1j,      0.398 +      0.065*1j,     -0.705 +      0.161*1j,     -0.600 +      0.633*1j,      0.779 -      0.266*1j,      0.035 -      0.790*1j,      0.018 +      1.384*1j,     -0.688 -      0.276*1j,      0.099 -      0.861*1j,      0.983 +      0.182*1j,     -0.352 +      1.086*1j,     -0.133 +      0.747*1j,      0.227 -      0.556*1j,      0.988 -      0.647*1j,     -0.693 +      0.075*1j,     -0.437 -      0.344*1j,     -0.126 -      0.670*1j,      0.440 +      0.062*1j,     -0.108 +      0.966*1j,     -0.106 +      0.035*1j,     -0.054 -      0.820*1j,      0.432 +      0.473*1j,     -0.440 +      0.287*1j,      0.235 -      0.166*1j,      0.049 -      0.763*1j,      0.826 +      0.320*1j,     -0.931 +      0.504*1j,     -0.955 -      0.565*1j,      0.401 -      0.859*1j,      0.573 +      0.654*1j,     -0.351 +      1.211*1j,     -0.618 +      0.265*1j,      0.803 -      0.296*1j,      0.282 -      1.235*1j,     -0.306 +      1.261*1j,     -0.468 +      0.293*1j,      0.131 -      1.170*1j,      1.171 -      0.036*1j,     -0.766 +      0.568*1j,     -0.843 -      0.019*1j,      0.311 -      1.284*1j,      0.785 +      0.105*1j,      0.244 +      1.031*1j,     -0.526 -      0.097*1j,      0.208 -      1.045*1j,      0.968 +      0.514*1j,     -0.221 +      0.790*1j,      0.298 +      0.278*1j,     -0.348 -      0.882*1j,      0.568 -      0.315*1j,     -0.696 +      0.839*1j,     -0.565 -      0.530*1j,      0.512 -      0.410*1j,      0.718 +      0.540*1j,     -0.749 +      1.074*1j,     -0.720 -      0.108*1j,      0.141 -      0.739*1j,      0.535 +      0.851*1j,     -0.447 +      0.456*1j,     -0.748 -      0.179*1j,      0.337 -      1.142*1j,      1.063 +      0.201*1j,     -0.255 +      1.051*1j,     -0.456 -      0.593*1j,      0.773 +      0.294*1j,      0.753 -      0.806*1j,     -0.452 +      1.343*1j,     -0.936 -      0.459*1j,      0.702 -      0.638*1j,      0.807 +      0.489*1j,     -0.554 +      0.416*1j,     -0.539 +      0.727*1j,     -0.316 -      0.451*1j,      0.614 -      0.495*1j,      0.424 +      1.532*1j,     -0.303 -      0.937*1j,      0.556 -      0.364*1j,      0.453 +      0.430*1j,     -0.665 +      0.453*1j,     -0.902 +      0.109*1j,     -0.182 -      1.024*1j,      0.615 +      0.240*1j,      0.074 +      0.909*1j,     -0.679 -      0.210*1j,      0.319 -      1.019*1j,      0.801 +      0.200*1j,     -0.282 +      1.021*1j,     -0.297 +      0.411*1j,      0.062 -      0.865*1j,      0.978 +      0.099*1j,     -0.858 +      0.701*1j,      0.047 +      0.623*1j,     -0.220 -      1.119*1j,      0.948 +      0.289*1j,     -0.850 +      0.643*1j,     -0.136 -      0.759*1j,      0.936 -      0.573*1j,      0.447 +      0.975*1j,     -0.953 +      0.207*1j,     -0.207 +      0.880*1j,     -0.281 -      0.345*1j,      0.541 -      1.233*1j,      0.542 +      0.574*1j,     -0.577 -      0.288*1j,      0.499 -      0.964*1j,      0.936 +      0.207*1j,     -0.485 +      0.915*1j,     -0.995 -      0.039*1j,     -0.025 -      0.960*1j,      0.686 +      0.254*1j,      0.094 +      1.095*1j,     -0.454 -      0.342*1j,      0.478 -      0.857*1j,      0.840 +      0.841*1j,     -0.816 +      0.507*1j,     -0.847 -      0.413*1j,      0.024 -      0.755*1j,      0.770 +      0.256*1j,     -0.242 +      1.015*1j,     -0.766 -      0.297*1j,      1.079 +      0.288*1j,     -0.540 -      1.306*1j,      0.230 +      0.339*1j,      0.384 +      0.138*1j,     -0.089 -      0.491*1j,      0.682 -      0.022*1j,     -0.755 +      0.929*1j,     -0.762 -      0.058*1j,     -0.064 -      0.778*1j,      0.737 -      0.204*1j,      0.077 +      0.940*1j,     -0.791 +      0.119*1j,      0.291 -      0.905*1j,      0.501 -      0.259*1j,      0.057 +      1.148*1j,     -0.672 -      0.277*1j,     -0.049 -      0.540*1j,      0.812 -      0.088*1j,     -0.278 +      0.737*1j,     -0.609 +      0.185*1j,      0.589 -      0.055*1j,     -0.006 -      1.234*1j,      0.072 +      0.756*1j,     -0.483 -      0.293*1j,     -0.467 -      0.887*1j,      0.863 +      0.019*1j,     -0.022 +      0.885*1j,     -0.783 +      0.042*1j,      0.122 -      0.746*1j,      0.864 +      0.221*1j,     -0.263 +      0.638*1j,     -0.651 -      0.276*1j,      0.479 -      0.586*1j,      0.428 +      0.523*1j,     -1.260 +      0.518*1j,     -1.054 -      0.093*1j,      0.344 -      1.081*1j,      0.562 +      0.671*1j,     -0.033 +      0.481*1j,      0.339 +      0.600*1j,      0.228 -      0.543*1j,     -0.070 -      0.983*1j,     -0.507 +      0.799*1j,     -0.598 +      0.134*1j,      0.907 +      0.067*1j,      0.406 -      1.053*1j,     -0.375 +      1.057*1j,     -0.424 +      0.267*1j,      0.415 -      1.075*1j,      0.643 +      0.639*1j,     -0.666 +      0.880*1j,     -0.100 -      0.834*1j,      0.659 -      0.434*1j,      0.017 +      0.627*1j,     -1.057 +      0.121*1j,     -0.267 -      1.004*1j,      0.834 -      0.509*1j,      0.116 +      0.643*1j,     -1.100 +      0.611*1j,     -0.628 +      0.170*1j,     -0.298 -      1.338*1j,      0.968 -      0.291*1j,     -0.081 +      0.595*1j,     -0.045 +      1.102*1j,      0.526 +      0.324*1j,      0.614 -      0.879*1j,     -0.558 -      0.258*1j,      0.061 +      0.458*1j,     -0.039 -      0.857*1j,      0.751 -      0.603*1j,     -0.839 +      0.533*1j,     -0.722 -      0.130*1j,     -0.057 -      0.710*1j,      0.823 -      0.026*1j,     -0.716 +      1.003*1j,      0.161 -      0.941*1j,      0.755 -      0.182*1j,      0.589 +      1.064*1j,     -0.748 +      0.398*1j,      0.359 -      0.211*1j,      0.123 -      1.218*1j,      0.158 +      1.006*1j,     -1.119 +      0.285*1j,     -0.721 -      0.298*1j,      0.100 -      0.878*1j,      1.126 +      0.317*1j,     -0.053 +      0.491*1j,     -0.275 -      0.217*1j,      0.087 -      0.816*1j,      0.825 +      0.427*1j,     -0.417 +      1.065*1j,     -0.710 +      0.024*1j,     -0.304 -      0.561*1j,      0.680 +      0.386*1j,      0.072 +      0.486*1j,      0.419 +      0.593*1j,     -0.385 -      0.308*1j,      0.563 -      0.640*1j,     -0.589 +      0.714*1j
